Virginia Department Of Education ,,,,,,,,,,,,,,,,,,,,
Public School Listing,,,,,,,,,,,,,,,,,,,,
Division  Num ,Division Name ,NCES School Num ,School  Num ,School Name ,Low  Grades ,High  Grades ,Division  Description ,School Description ,Grade  Standard ,Schedule ,Principal ,Address1 ,Address2 ,City ,State ,Zip ,Phone  Number ,Fall  Membership  Schools,,
82,Rockingham County Public Schools,5.10339E+11,390,River Bend Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Sharon  Martz ,14556 Rockingham Pike,,Elkton,VA,22827,540-298-5301,Membership,,
82,Rockingham County Public Schools,5.10339E+11,830,South River Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Ashley  Houff ,2101 Elm Ave,,Grottoes,VA,24441,540-249-4001,Membership,,
82,Rockingham County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
82,Rockingham County Public Schools,5.10339E+11,20,Spotswood High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Mr. Robert  Dansey ,368 Blazer Drive,,Penn Laird,VA,22846,540-289-3100,Membership,,
82,Rockingham County Public Schools,5.10339E+11,850,Turner Ashby High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Mr. Phil  Judd ,800 N Main St,,Bridgewater,VA,22812,540-828-2008,Membership,,
82,Rockingham County Public Schools,5.10339E+11,890,Wilbur S. Pence Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Mr. John  Childs ,375 Bowman Road,,Dayton,VA,22821,540-879-2535,Membership,,
83,Russell County Public Schools,5.10342E+11,580,Belfast Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,,Mrs. Christy  Bowman ,646 Belfast School Rd.,,Rosedale,VA,24280,276-880-2283,Membership,,
83,Russell County Public Schools,,901,Belfast Elementary Annex,,,Local Education Agency,Annex to a public school,,,   ,52 Hayter's Gap Rd.,,Rosedale,VA,24280,276-880-2283,Non-Membership,,
83,Russell County Public Schools,5.10342E+11,792,Castlewood Elementary,1,7,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Paula  Banner ,242 Blue Devil Circle,,Castlewood,VA,24224,276-762-2315,Membership,,
83,Russell County Public Schools,5.10342E+11,791,Castlewood High,8,12,Local Education Agency,Public school - Regular,High,7 period,Mr. Mike  Roberson ,304 Blue Devil Circle,,Castlewood,VA,24224,276-762-9449,Membership,,
83,Russell County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
83,Russell County Public Schools,5.10342E+11,820,Copper Creek Elementary,PK,KG,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Paula  Banner ,23894 U.S. highway 58,,Castlewood,VA,24224,276-794-9306,Membership,,
83,Russell County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
83,Russell County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
83,Russell County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
83,Russell County Public Schools,5.10342E+11,890,Honaker Elementary,PK,7,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Greg  Mullins ,50 Honaker Elementary  Dr.,,Honaker,VA,24260,276-873-6301,Membership,,
83,Russell County Public Schools,5.10342E+11,540,Honaker High,8,12,Local Education Agency,Public school - Regular,High,7 period,Mr. Anthony L Bush ,1795 Thompson Creek Rd.,,Honaker,VA,24260,276-873-6363,Membership,,
83,Russell County Public Schools,5.10342E+11,410,Lebanon Elementary,2,4,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Tabitha  Long ,PO Box 668,,Lebanon,VA,24266,276-889-6531,Membership,,
83,Russell County Public Schools,5.10342E+11,140,Lebanon High,8,12,Local Education Agency,Public school - Regular,High,7 period,Mr. Joseph  Long ,PO Box 217,,Lebanon,VA,24266,276-889-6539,Membership,,
83,Russell County Public Schools,5.10342E+11,902,Lebanon Middle,5,7,Local Education Agency,Public school - Regular,Elementary,7 period,Mr. Nathan  Breeding ,53 George Ben Whited Dr.,,Lebanon,VA,24266,276-889-6548,Membership,,
83,Russell County Public Schools,5.10342E+11,390,Lebanon Primary,PK,1,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Rebecca  Sykes ,PO Box 187,,Lebanon,VA,24266,276-889-4507,Membership,,
83,Russell County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,P.O. Box 8,,Lebanon,VA,24266,540-889-6500,Membership,,
83,Russell County Public Schools,5.10342E+11,900,Russell County Voc.,,,Local Education Agency,Public center - Career and Technical Ed.,,7 period,Mr. Larry W. Rasnake ,PO Box 849,,Lebanon,VA,24266,276-889-6550,Non-Membership,,
83,Russell County Public Schools,5.10342E+11,903,STEM for LIFE Governor's Academy,,,Local Education Agency,Public center - Governor's STEM Academy,,,   ,One School Board Drive,,Lebanon,VA,24244,276-889-6518,Non-Membership,,
83,Russell County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
83,Russell County Public Schools,5.10342E+11,710,Swords Creek Elementary,PK,7,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Christy  Bowman ,PO Box 129,,Swords Creek,VA,24649,276-991-0016,Membership,,
139,Salem Public Schools,5.10346E+11,100,Andrew Lewis Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mr. James  Garst ,616 South College Ave,,Salem,VA,24153,540-387-2513,Membership,,
139,Salem Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
139,Salem Public Schools,5.10346E+11,550,East Salem Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Hunter  Routt ,1765 Boulevard,,Salem,VA,24153,540-375-7001,Membership,,
139,Salem Public Schools,5.10346E+11,90,G.W. Carver Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Kristyn  Schmidt ,6 Fourth St,,Salem,VA,24153,540-387-2492,Membership,,
139,Salem Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
139,Salem Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,540-389-0130,Non-Membership,,
139,Salem Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,540-389-0130,Non-Membership,,
139,Salem Public Schools,,9997,Local Or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,510 South College Avenue,,Salem,VA,24153,540-389-0130,Membership,,
139,Salem Public Schools,5.10346E+11,70,Salem High,9,12,Local Education Agency,Public school - Regular,High,7 period,Mr. Scott  Habeeb ,400 Spartan Dr,,Salem,VA,24153,540-387-2437,Membership,,
139,Salem Public Schools,5.10346E+11,580,South Salem Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Laura  James ,1600 Carolyn Rd,,Salem,VA,24153,540-387-2478,Membership,,
139,Salem Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,510 S College Ave,,Salem,VA,24153,540-389-0130,Non-Membership,,
139,Salem Public Schools,5.10346E+11,460,West Salem Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Amanda Griffin Gibson ,520 N Bruffey St,,Salem,VA,24153,540-387-2503,Membership,,
84,Scott County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
84,Scott County Public Schools,5.10348E+11,750,Duffield-Pattonsville Primary,KG,4,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Christy  Miller ,663 Duff-Patt. Highway,,Duffield,VA,24244,276-431-2244,Membership,,
84,Scott County Public Schools,5.10348E+11,42,Dungannon Intermediate,4,7,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Jennifer  Meade ,113 Fifth Avenue,,Dungannon,VA,24245,276-467-2281,Membership,,
84,Scott County Public Schools,5.10348E+11,102,Fort Blackmore Primary,KG,3,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Jennifer  Meade ,214 Big Stoney Creek Road,,Fort Blackmore,VA,24250,276-995-2471,Membership,,
84,Scott County Public Schools,5.10348E+11,770,Gate City High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Scott  Vermillion ,178 Harry Fry Dr.,,Gate City,VA,24251,276-386-7522,Membership,,
84,Scott County Public Schools,5.10348E+11,771,Gate City Middle,7,8,Local Education Agency,Public school - Regular,Middle,4X4,Dr. Amy  Sallee ,170 Harry Fry Drive,,Gate City,VA,24251,276-386-6065,Membership,,
84,Scott County Public Schools,5.10348E+11,670,Hilton Elementary,KG,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Kelsey K. Taylor ,303 Academy Rd.,,Hiltons,VA,24258,276-386-7430,Membership,,
84,Scott County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
84,Scott County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
84,Scott County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
84,Scott County Public Schools,,9997,Local Or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,340 East Jackson Street,,Gate City,VA,24251,540-386-6118,Membership,,
84,Scott County Public Schools,5.10348E+11,220,Nickelsville Elementary,KG,7,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Tracy  Stallard ,11415 Nickelsville Hwy.,,Nickelsville,VA,24271,276-479-2676,Membership,,
84,Scott County Public Schools,5.10348E+11,260,Rye Cove High,8,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Christopher  Stapleton ,164 Eagles Nest Lane,,Duffield,VA,24244,276-940-2701,Membership,,
84,Scott County Public Schools,5.10348E+11,20,Rye Cove Intermediate,5,7,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Travis  Nickels ,158 Memorial School Lane,,Clinchport,VA,24244,276-940-2322,Membership,,
84,Scott County Public Schools,5.10348E+11,800,Scott County Career and Technical Center,,,Local Education Agency,Public center - Career and Technical Ed.,,4X4,Mr. William Gregory Ervin ,387 Broadwater Ave,,Gate City,VA,24251,276-386-6515,Non-Membership,,
84,Scott County Public Schools,5.10348E+11,641,Shoemaker Elementary,KG,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Renee  Dishner ,218 Shoemaker Dr,,Gate City,VA,24251,276-386-7002,Membership,,
84,Scott County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
84,Scott County Public Schools,5.10348E+11,780,Twin Springs High,8,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Jordan  Mullins ,273 Titan Lane,,Nickelsville,VA,24271,276-479-2185,Membership,,
84,Scott County Public Schools,5.10348E+11,740,Weber City Elementary,KG,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Laura  Pyne ,322 Jennings St,,Weber City,VA,24290,276-386-7981,Membership,,
84,Scott County Public Schools,5.10348E+11,790,Yuma Elementary,KG,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Valerie  Babb ,130 Grover Cleveland Lane,,Gate City,VA,24251,276-386-3109,Membership,,
85,Shenandoah County Public Schools,5.10351E+11,780,Central High,9,12,Local Education Agency,Public school - Regular,High,4X4,   ,1147 Susan Avenue,,Woodstock,VA,22664,540-459-2161,Membership,,
85,Shenandoah County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
85,Shenandoah County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
85,Shenandoah County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
85,Shenandoah County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
85,Shenandoah County Public Schools,5.10351E+11,820,Honey Run Elementary,PK,4,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Tiffani  Utz ,480 Stonewall Lane,,Quicksburg,VA,22847,540-477-2927,Membership,,
85,Shenandoah County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,600 N. Main St  Ste 200,,Woodstock,VA,22664,540-459-6716,Membership,,
85,Shenandoah County Public Schools,5.10351E+11,790,Mountain View High,8,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Michael J. Dorman ,150 Stonewall Ln,,Quicksburg,VA,22847,540-477-2732,Membership,,
85,Shenandoah County Public Schools,5.10351E+11,40,North Fork Middle,5,7,Local Education Agency,Public school - Regular,Elementary,8 period,Ms. Annmarie  Noonan ,1018 Caverns Road,,Quicksburg,VA,22847,540-477-2953,Membership,,
85,Shenandoah County Public Schools,5.10351E+11,30,Peter Muhlenberg Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,   ,1251 Susan Ave,,Woodstock,VA,22664,540-459-2941,Membership,,
85,Shenandoah County Public Schools,5.10351E+11,810,Sandy Hook Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Robin  Shrum ,162 Stickley Loop,,Strasburg,VA,22657,540-465-8281,Membership,,
85,Shenandoah County Public Schools,5.10351E+11,50,Signal Knob Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 period,Ms. Holly W. Rusher ,687 Sandy Hook Rd,,Strasburg,VA,22657,540-465-3422,Membership,,
85,Shenandoah County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
85,Shenandoah County Public Schools,5.10351E+11,770,Strasburg High,9,12,Local Education Agency,Public school - Regular,High,4X4,Ms. Melissa  Foltz ,250 Ram Drive,,Strasburg,VA,22657,540-465-5195,Membership,,
85,Shenandoah County Public Schools,5.10351E+11,800,Triplett Business & Tech.,,,Local Education Agency,Public center - Career and Technical Ed.,,4X4,Ms. Connie  Pangle ,6375 S Main St,,Mount Jackson,VA,22842,540-477-3161,Non-Membership,,
85,Shenandoah County Public Schools,5.10351E+11,20,W.W. Robinson Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,   ,1231 Susan Avenue,,Woodstock,VA,22664,540-459-5155,Membership,,
86,Smyth County Public Schools,5.10352E+11,290,Atkins Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Gary L. Roberts ,5903 Lee Hwy,,Atkins,VA,24311,276-783-3366,Membership,,
86,Smyth County Public Schools,5.10352E+11,730,Chilhowie Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Jerad  Ward ,P O Box 348,,Chilhowie,VA,24319,276-646-8220,Membership,,
86,Smyth County Public Schools,5.10352E+11,460,Chilhowie High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Rocky  Baker ,PO Box 2280,,Chilhowie,VA,24319,276-646-8966,Membership,,
86,Smyth County Public Schools,5.10352E+11,851,Chilhowie Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mr. Sam  Blevins ,P O Box 5018,,Chilhowie,VA,24319,276-646-3942,Membership,,
86,Smyth County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
86,Smyth County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
86,Smyth County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
86,Smyth County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
86,Smyth County Public Schools,,9997,Local Or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,Bagley Circle Ste 300,,Marion,VA,24354,276-783-3791,Membership,,
86,Smyth County Public Schools,5.10352E+11,710,Marion Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Sue  Davidson ,188 Star Mountain Dr,,Marion,VA,24354,276-783-3021,Membership,,
86,Smyth County Public Schools,5.10352E+11,680,Marion Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Ms. Edwina  Richardson ,134 Wilden St,,Marion,VA,24354,276-783-4466,Membership,,
86,Smyth County Public Schools,5.10352E+11,700,Marion Senior High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Mike  Davidson ,848 Stage ST,,Marion,VA,24354,276-783-4731,Membership,,
86,Smyth County Public Schools,5.10352E+11,250,Northwood High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Stacy  Poston ,PO Box Y,,Saltville,VA,24370,276-496-7751,Membership,,
86,Smyth County Public Schools,5.10352E+11,120,Northwood Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mrs. Mariann  Blevins ,156 Long Hollow Rd,,Saltville,VA,24370,276-624-3341,Membership,,
86,Smyth County Public Schools,5.10352E+11,690,Oak Point Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Jennifer  Sayers ,138 OAK POINT DR,,Marion,VA,24354,276-783-2609,Membership,,
86,Smyth County Public Schools,5.10352E+11,720,Rich Valley Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Tamela W. Hahn ,196 Long Hollow Rd,,Saltville,VA,24370,276-624-3314,Membership,,
86,Smyth County Public Schools,5.10352E+11,740,Saltville Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Mitzi  Frye ,PO Box C,,Saltville,VA,24370,276-496-4751,Membership,,
86,Smyth County Public Schools,5.10352E+11,750,Smyth County Career & Technical Center,,,Local Education Agency,Public center - Career and Technical Ed.,,4X4,Mr. Richard K. Blevins ,147 Fox Valley Rd,,Marion,VA,24354,276-646-8117,Non-Membership,,
86,Smyth County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
86,Smyth County Public Schools,5.10352E+11,555,Sugar Grove Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Amy  Wheeler ,242 Teas Rd,,Sugar Grove VA,VA,24375,276-677-3311,Membership,,
87,Southampton County Public Schools,5.1036E+11,710,Capron Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Allison  Francis ,PO Box 164,,Capron,VA,23829,434-658-4348,Membership,,
87,Southampton County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
87,Southampton County Public Schools,5.1036E+11,900,Fresh Start Center,,,Local Education Agency,Public center - Alternative,,4X4,   ,23190 Sedley Road,,Franklin,VA,23851,757-562-2903,Non-Membership,,
87,Southampton County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
87,Southampton County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
87,Southampton County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
87,Southampton County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,P.O. Box 96,,Courtland,VA,23837,757-653-2692,Membership,,
87,Southampton County Public Schools,5.1036E+11,20,Meherrin Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Susan  Fowler ,28600 Grays Shop Rd.,,Newsoms,VA,23874,757-654-6461,Membership,,
87,Southampton County Public Schools,5.1036E+11,10,Nottoway Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Susan  Melbye ,13093 Ivor Rd.,,Sedley,VA,23878,757-859-6539,Membership,,
87,Southampton County Public Schools,5.1036E+11,780,Riverdale Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Tamee  Railey ,31023 Camp Parkway,,Courtland,VA,23837,757-562-3007,Membership,,
87,Southampton County Public Schools,5.1036E+11,690,Southampton High,9,12,Local Education Agency,Public school - Regular,High,4X4,   ,23350 Southampton Pkwy,,Courtland,VA,23837,757-653-2751,Membership,,
87,Southampton County Public Schools,5.1036E+11,700,Southampton Middle,6,8,Local Education Agency,Public school - Regular,Middle,6 period,Mr. Darian  Bell ,23450 Southampton Pkwy,,Courtland,VA,23837,757-653-9250,Membership,,
87,Southampton County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,10,Battlefield Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kara  Hurley ,11108 Leavells Rd,,Fredericksburg,VA,22407,540-786-4532,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,50,Battlefield Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Mrs. Sheila B. Smith ,11120 Leavells Rd,,Fredericksburg,VA,22407,540-786-4400,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,340,Berkeley Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Scott  Orth ,5979 Partlow Road,,Spotsylvania,VA,22553,540-582-5141,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,400,Brock Road Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Shonda H. Collins-Richey ,10207 Brock Rd,,Spotsylvania,VA,22553,540-972-3870,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,511,Cedar Forest Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Allison  Langridge ,3412 Massaponax Church Road,,Fredericksburg,VA,22408,540-834-4569,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,40,Chancellor Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Shawn D. Hudson ,5995 Plank Rd,,Fredericksburg,VA,22407,540-786-6123,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,381,Chancellor High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Cassandra  Crawford ,6300 Harrison Rd,,Fredericksburg,VA,22407,540-786-2606,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,382,Chancellor Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Ms. Deborah H. Frazier ,6320 Harrison Rd,,Fredericksburg,VA,22407,540-786-8099,Membership,,
88,Spotsylvania County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,816,Courthouse Academy Program,,,Local Education Agency,Public center - Special Education,,,   ,8020 River Stone Drive,,Fredericksburg,VA,22407,540-582-5242,Non-Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,501,Courthouse Road Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Marcie  Fields ,9911 Courthouse Rd,,Spotsylvania,VA,22553,540-891-0400,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,22,Courtland Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Katie  Simitoski ,6601 Smith Station Rd,,Spotsylvania,VA,22553,540-898-5422,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,20,Courtland High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Clifton  Conway ,6701 Smith Station Rd,,Spotsylvania,VA,22553,540-898-4445,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,509,Freedom Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Eric  Wright ,7315 Smith Station Rd.,,Fredericksburg,VA,22407,540-548-1030,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,820,Gateway Academy,,,Local Education Agency,Public center - Special Education,,,   ,7409 Brock Road,,Spotsylvania,VA,22553,540-582-3498,Non-Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,507,Harrison Road Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Christine  Primo ,6230 Harrison Road,,Fredericksburg,VA,22407,540-548-4864,Membership,,
88,Spotsylvania County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
88,Spotsylvania County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
88,Spotsylvania County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,221,John J. Wright Educational And Cultural Center,,,Local Education Agency,Public center - Alternative,,,Terecia R. Gill ,8020 River Stone Drive,,Fredericksburg,VA,22407,540-834-2556,Non-Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,30,Lee Hill Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Carroll  Lewter ,3600 Lee Hill School Dr,,Fredericksburg,VA,22408,540-898-1433,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,350,Livingston Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Cynthia L. Franzen ,6057 Courthouse Rd,,Spotsylvania,VA,22551,540-895-5101,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,506,Massaponax High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Joseph  Gabalski ,8201 Jefferson Davis Hwy,,Fredericksburg,VA,22407,540-710-0419,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,505,Ni River Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,Brian  Bartoszek ,11632 Catharpin Rd,,Spotsylvania,VA,22553,540-785-3990,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,508,Parkside Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,John  McKinley ,5620 Smith Station Rd.,,Fredericksburg,VA,22407,540-710-5190,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,220,Post Oak Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 A/B,   ,6959 Courthouse Rd,,Spotsylvania,VA,22553,540-582-7517,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,800,QUEST Alternative Education Program,,,Local Education Agency,Public center - Alternative,,7 period,   ,8020 River Stone Drive,,Fredericksburg,VA,22407,540-582-6831,Non-Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,510,Riverbend High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Dr. Troy N. Wright ,12301 Spotswood Furnace Rd.,,Fredericksburg,VA,22407,540-548-4051,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,503,Riverview Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Jennifer  Gardner ,7001 N Roxbury Mill Rd,,Spotsylvania,VA,22553,540-582-7617,Membership,,
88,Spotsylvania County Public Schools,5.10364E+11,60,Salem Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Tara  Schohn ,4501 Jackson Rd,,Fredericksburg,VA,22407,540-786-8218,Membership,,
